latitude,longitude,REGION,SUC,Total_Student_Enrolment_2015_2016,weighted_enrolment_2015_16,Personal_Services_and_MOOE_2016,Cost_per_Student
11.052087,124.387417,VIII,Palompon Polytechnic State University (Palompon Instiute of Technology),5256,5261,103223,19620
10.390963,124.979721,VIII,Southern Leyte State Univesity (Southern Leyte State College of Science and Technology and Tomas Oppus Normal College),11022,11269,196094,17402
11.771117,124.885903,VIII,Samar State University (Samar State Polytechnic College),7393,7561,157105,20778
12.509439,124.664822,VIII,University of Eastern Philippines,15424,15504,313121,20197
7.947594,123.587839,IX (Main),J.H. Cerilles State College,12764,12406,113145,9120
8.655918,123.422625,IX (Main),Jose Rizal Memorial State University (Jose Rizal Memorial State College),16771,16711,293331,17553
6.913594,122.061373,IX (Main),Western Mindanao State University,35477,35598,435022,12220
6.912783,122.059066,IX (Main),Zamboanga City State Polytechnic College,6853,6958,117115,16832
6.90032,122.083307,IX (Main),Zamboanga State College of Marine Science & Tech.,6316,6371,121840,19124
6.691856,121.96089,IX (ARMM),Basilan State College,-,-,81013,-
5.038635,119.743846,IX (ARMM),MSU - Tawi-Tawi College of Technology and Oceanography,10317,6778,375045,55337
6.050723,121.012837,IX (ARMM),Sulu State College,5196,5248,91024,17346
5.025038,119.760338,IX (ARMM),Tawi-Tawi Regional Agricultural College,3252,3050,63510,20823
8.157416,125.12485,X,Bukidnon State University,24176,25024,167911,6710
9.243215,124.730567,X,Camiguin Polytechnic State College,3148,3168,56065,17697
7.859247,125.051516,X,Central Mindanao University,11659,11966,409612,34233
8.485483,124.656493,X,Mindanao University of Science and Technology,12696,12951,209987,16214
8.24145,124.243981,X,MSU - Iligan Institute of Technology,15683,15945,708060,44407
8.611504,124.886366,X,Misamis Oriental State College of Agriculture & Tech.,1385,1339,63594,47511
8.058085,123.721131,X,Northwestern Mindanao State College of Science & Technology,1855,1770,30764,17386
7.31644,126.118627,XI,Compostela Valley State College,2951,2951,51792,17551
7.313627,125.670359,XI,Davao del Norte State College,2351,2408,79384,32974
6.93204,126.255224,XI,Davao Oriental State College of Science & Tech.,16082,16159,139217,8616
6.758159,125.309421,XI,Southern Philippines Agri-Business & Marine & Aquatic School of Technology,4088,4442,82537,18581
7.086414,125.615508,XI,University of Southeastern Philippines,21844,23191,367022,15826
7.211879,124.245455,XII (Main),Cotabato State University (Cotabato City State Polytechnic College),11044,11110,114958,10347
7.345683,125.09248,XII (Main),Cotabato Foundation College of Science & Tech.,5133,5133,106160,20684
6.691823,124.678354,XII (Main),Sultan Kudarat State University,12917,13451,169530,12604
7.111795,124.830351,XII (Main),University of Southern Mindanao,18255,18136,390010,21505
7.96667,124.349999,XII (ARMM),Adiong Memorial Polytechnic State  College,3826,3582,32216,8995
7.998791,124.258583,XII (ARMM),Mindanao State University,49323,44463,2091546,47040
8.169255,126.003524,CARAGA,Agusan del Sur State College of Agriculture and Technology,4667,4681,79687,17023
8.956049,125.596794,CARAGA,Caraga State University,8175,8259,151898,18393
9.039458,126.216031,CARAGA,Surigao del Sur State University,12088,12348,197684,16009
9.787434,125.494432,CARAGA,Surigao State College of Technology,12799,12928,188638,14592
